created_at,edit_history_tweet_ids,text,conversation_id,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2024-05-13T21:05:43.000Z,['1790126298947358923'],Have you heard of Drivewise? It's located in our Allstate app. We recently found out that customers who choose to use Drivewise are 25% less likely to have a severe collision than those who don't.  https://t.co/HNMxg3hVAZ,1790126298947358923,1790126298947358923,en,10,579,22,10,4,36828,Allstate
2024-04-30T17:41:15.000Z,['1785363801937764494'],Apply below! https://t.co/3WNTjLVKWB,1785363801937764494,1785363801937764494,en,4,113,7,3,0,35227,Allstate
2024-04-19T14:00:31.000Z,['1781321986876039220'],"Shout out to Allstate customers who use our Drivewise app! A national survey found, on average, Drivewise customers: 
📞 handle their phones 44% less while driving 
🚀 spend 23% less time driving at high speeds 
🚙 have an 11% lower rate of hard braking  https://t.co/5GeR2nydjm",1781321986876039220,1781321986876039220,en,7,85,12,3,0,21411,Allstate
2024-02-26T19:52:47.000Z,['1762204079978103218'],Emergency preparedness and disaster recovery is as important for your small business as it is for your home and family but it's not always top of mind. That's why we're helping small businesses learn how to be resilient when faced with a disaster. https://t.co/Cy6PyABPQb,1762204079978103218,1762204079978103218,en,5,68,7,2,1,16253,Allstate
2024-02-23T21:41:38.000Z,['1761144310181867822'],"Thanks for sharing the good news, Kayla! Thrilled we were able to extend job offers at the #AllstateHBCULegacyBowl career fair. https://t.co/MA4jKlKzN7",1761144310181867822,1761144310181867822,en,5,57,14,0,1,21948,Allstate
2024-02-19T22:52:56.000Z,['1759712702446891375'],"We're celebrating rich culture and history this week at the Allstate HBCU Legacy Bowl. There are 100 other employers competing for attention at the Career Fair, but Allstate will have opportunities for students to interview and be hired on the spot! https://t.co/c1y2Ta0tGV",1759712702446891375,1759712702446891375,en,8,31,13,0,1,10344,Allstate
2024-02-01T22:01:14.000Z,['1753176709220671544'],"Our 🏈 correspondent, @katiefeeneyy is rewriting the playbook for young women pursuing careers in the sports industry. And we love that. Hear about her experience as our eyes and ears on the gridiron. https://t.co/ETq58soPst",1753176709220671544,1753176709220671544,en,1,21,1,0,1,8680,Allstate
2024-01-25T17:28:22.000Z,['1750571323045118054'],CFP National Championship MVP Blake Corum has tremendous accolades on the field but he wants you to know him for what he does off the field. #GoodWorksTeam @WeAreAFCA https://t.co/WDgNQXICbu,1750571323045118054,1750571323045118054,en,2,15,5,0,0,10109,Allstate
2024-01-24T22:26:46.000Z,['1750284033571844175'],Did all that food you stocked up on for your big football watch party go bad during that last winter storm power outage? You may be eligible for reimbursement. Check out @makseminera’s article to learn more.  https://t.co/euHu4fqd8L,1750284033571844175,1750284033571844175,en,1,11,2,1,0,6289,Allstate
2024-01-24T15:51:21.000Z,['1750184522962940401'],"80% of our nearly 55,000 employees work remotely. Flexible work benefits our people and allows them to better serve customers in new and surprising ways. Check out @paidion's @FortuneMagazine article discussing return-to-office push back. https://t.co/jE72KYmfxF",1750184522962940401,1750184522962940401,en,2,21,4,4,1,6430,Allstate
2024-01-18T16:28:44.000Z,['1748019603442151784'],The great annual debate of winter: warm up the engine or hit the road cold? What do you do? (P.S. – here’s what the experts suggest. https://t.co/DUHgYExXP3),1748019603442151784,1748019603442151784,en,1,12,3,0,0,4737,Allstate
2024-01-10T22:00:23.000Z,['1745203960049275237'],Roof damage from the storm? Tree limbs down? Make sure you know what your homeowners insurance covers.  https://t.co/PvgP4Ww7ro,1745203960049275237,1745203960049275237,en,2,40,7,0,0,4978,Allstate
2024-01-08T19:12:46.000Z,['1744437004803227783'],"No storm big enough to dampen our #nationalchampionship day. Gear up for the tailgate, grab those tarps, drive safe and enjoy the game. Who are you cheering for tonight? https://t.co/3tP2CTyVdn",1744437004803227783,1744437004803227783,en,0,7,3,0,0,4389,Allstate
2024-01-01T20:04:49.000Z,['1741913386223305043'],The best! 👏Thanks to all who helped to make yesterday a great one! https://t.co/hdBHkEo4Vi,1741913386223305043,1741913386223305043,en,0,9,4,0,0,7461,Allstate
2023-12-31T23:10:53.000Z,['1741597824309957083'],A great day! 🙌 @WeAreAFCA #GoodWorksTeam https://t.co/pE4BV2PHTY,1741597824309957083,1741597824309957083,en,1,7,1,0,0,3940,Allstate
2023-12-21T15:24:20.000Z,['1737856535542571258'],"We are thankful to be a part of this once in a lifetime moment with The Crozat Family Foundation, @GnCAutoBodyRosa, the @NABCGivesBack  and several deserving families! https://t.co/5wlTGTZrwS",1737856535542571258,1737856535542571258,en,2,5,1,0,0,2388,Allstate
2023-12-18T18:30:36.000Z,['1736816249030816019'],Love supporting our hometown of Chicago this holiday season. Make sure to grab a ride on the Allstate CTA holiday fleet before it ends! https://t.co/bmxlCi5SmN,1736816249030816019,1736816249030816019,en,2,3,4,0,0,2248,Allstate
2023-12-13T22:19:15.000Z,['1735061851023479081'],Do you know what VIBE stands for? Voted in by Employees. We received @TheMuse's 2023 VIBE award for work flexibility. That makes us feel good. Creating a flexible workplace that helps our people live their best lives is a big priority for us. https://t.co/k3IYhVmAmJ,1735061851023479081,1735061851023479081,en,1,3,1,0,0,2181,Allstate
2023-12-12T17:55:23.000Z,['1734633059159285853'],We want to inspire the next wave of soccer stars and protect the future of the game for the next generation. https://t.co/CPiT7o7qgs,1734633059159285853,1734633059159285853,en,0,1,3,0,0,3125,Allstate
2023-12-11T17:51:56.000Z,['1734269801755787631'],Get to know our College Football Corespondent HERE! 💙  https://t.co/2BkqCJx3Os,1734269801755787631,1734269801755787631,en,0,6,3,0,0,1971,Allstate
2023-12-08T14:13:04.000Z,['1733127558663729418'],💙💙💙 https://t.co/zGFzySkea6,1733127558663729418,1733127558663729418,art,1,9,4,0,0,3053,Allstate
2023-12-05T14:40:57.000Z,['1732047411088937014'],"""To be the captain of the Allstate Good Works Team, it means a lot,"" said @Blake_Corum. “...Probably one of the best awards I’ve gotten.” Via @FoxNews @WeAreAFCA https://t.co/lpPFZUMtOY",1732047411088937014,1732047411088937014,en,0,6,4,0,0,1802,Allstate
2023-12-04T22:57:03.000Z,['1731809870691631287'],Allstate Sugar Bowl festivities to bring big economic impact to New Orleans https://t.co/AuXdQ4HJYn,1731809870691631287,1731809870691631287,en,3,8,8,0,0,1858,Allstate
2023-11-20T20:06:37.000Z,['1726693550291574862'],Driving or flying before feasting? Here are some tips via @AP. Safe travels 🚙✈️🦃  https://t.co/xDW64QKLYk,1726693550291574862,1726693550291574862,en,0,18,2,0,0,2056,Allstate
2023-11-13T18:08:12.000Z,['1724127035201634662'],Better to be early than late when prepping for winter driving. Need some tips? Our agents can help. https://t.co/eQ4DbhsedD,1724127035201634662,1724127035201634662,en,0,8,3,0,0,1672,Allstate
2023-11-09T15:33:33.000Z,['1722638564607811732'],"What do a pop star, a Nobel Prize winner and our very own CEO, Tom Wilson, have in common? All were named to this year’s @Forbes’ Future of Work 50 list, which recognizes those trailblazing new ways of working. https://t.co/HPaZdXbaKg",1722638564607811732,1722638564607811732,en,0,10,3,0,0,1618,Allstate
2023-11-06T15:59:09.000Z,['1721557842711208409'],"Auto Insurance Prices Are Rising. Here’s What You Can Do To Save Money via @Forbes 
 https://t.co/Y0Jsdd1KJB",1721557842711208409,1721557842711208409,en,0,12,4,0,0,1464,Allstate
2023-10-06T16:29:13.000Z,['1710331388073820249'],"We’re paving the way to a cleaner, greener future. https://t.co/bnsu1evpEw",1710331388073820249,1710331388073820249,en,8,36,10,2,0,5278,Allstate
2023-09-28T21:54:51.000Z,['1707514232961384668'],Congrats! https://t.co/PEK23HVhlv,1707514232961384668,1707514232961384668,en,17,9,2,0,0,5223,Allstate
2023-09-14T12:30:01.000Z,['1702298654399242439'],"A true leader, on and off the field. Your 2023 Allstate @WeAreAFCA college football #GoodWorksTeam Coach, Michael Locksley! 👏👏 https://t.co/OPju58Qbgm",1702298654399242439,1702298654399242439,en,7,30,6,0,0,4770,Allstate
2023-09-12T20:14:57.000Z,['1701690883836354824'],Introducing your 2023 Allstate @WeAreAFCA college football #GoodWorksTeam! 👏🏈 Get to know the players and learn about their community outreach: https://t.co/IhCWYDCGxO https://t.co/XNiILPkiOb,1701690883836354824,1701690883836354824,en,4,7,10,0,0,3295,Allstate
2023-09-01T13:48:36.000Z,['1697607392001695913'],We’re here to help customers rebuild at our Mobile Claims Centers. See locations for filing in-person claims after the #Idalia #Hurricane: https://t.co/ntKDGRJpcf https://t.co/FzlynNi6PZ,1697607392001695913,1697607392001695913,en,1,21,5,1,0,3430,Allstate
2023-08-28T15:40:47.000Z,['1696186070935699898'],Keep your car protected ahead of a #hurricane. Get tips to help prep your ride: https://t.co/M8C9SmZJFN 🚙 https://t.co/uKXpI77uHa,1696186070935699898,1696186070935699898,en,4,12,3,0,0,2970,Allstate
2023-08-24T17:00:06.000Z,['1694756480858104012'],"Check out #landscape tips to help prepare your yard for a potential #hurricane:

🌱 Salt-tolerant greenery
🌳 Prune properly
👨‍🌾 Use soft mulch
🌨️ Remove storm hazards

Learn more: https://t.co/eJwhuoAtS3 https://t.co/2EGDifAXiI",1694756480858104012,1694756480858104012,en,2,9,6,0,0,2641,Allstate
2023-08-22T21:38:20.000Z,['1694101722401051035'],"Choose your way to file a claim. Go to https://t.co/pKs7lh3qdh, the Allstate app or call 800-54-STORM. We’re here to help. #Washington #GrayFire https://t.co/Ns0xpIqwPi",1694101722401051035,1694101722401051035,en,2,10,5,0,0,2674,Allstate
2023-08-22T14:25:01.000Z,['1693992674909683998'],"From start to finish, we’ll be by your side. To file #storm claims, go to https://t.co/AuneGuq1HQ, use our mobile app, or call 1-800- 54-STORM. #California #HurricaneHilary #Hilary https://t.co/90OgQB3ESO",1693992674909683998,1693992674909683998,en,0,11,4,0,1,1983,Allstate
2023-08-22T12:00:25.000Z,['1693956285291462928'],Being ready for #hurricanes is essential for your safety — and your furry pals. 🐈 Create an emergency pet kit: https://t.co/rq0qcsN3oE #hurricanerecovery https://t.co/uCEgboff2S,1693956285291462928,1693956285291462928,en,0,0,2,0,0,1652,Allstate
2023-08-17T12:30:30.000Z,['1692151917084844346'],Preparation is the key to keeping your family and friends safe. Get the full list of #hurricane emergency items: https://t.co/xip9FNFHW0 https://t.co/Xz9m9BrWir,1692151917084844346,1692151917084844346,en,2,7,5,1,0,1902,Allstate
2023-08-08T16:37:29.000Z,['1688952583938080768'],"Planning ahead saves time, and more importantly, lives. Check out wildfire safety tips: https://t.co/sED9YkeLwI https://t.co/bM9tNgHUjs",1688952583938080768,1688952583938080768,en,0,6,5,0,0,2053,Allstate
2023-06-23T22:38:52.000Z,['1672373685569609728'],"From start to finish, we’ll stay by your side. To file #storm claims, go to https://t.co/AuneGuptSi, use our mobile app, or call 1-800-STORM. #Colorado https://t.co/9qMO6CO6xW",1672373685569609728,1672373685569609728,en,2,32,5,2,0,4734,Allstate
2023-06-23T13:52:24.000Z,['1672241197895614466'],"We’ll be there when the #storm clears. #Texas, stay safe &amp; visit the Allstate Disaster Help Center. File claims at 1-800-STORM or via the Allstate app. https://t.co/pV2EbHlKnV https://t.co/ihDzmX4Gyy",1672241197895614466,1672241197895614466,en,4,13,4,0,0,2836,Allstate
2023-06-16T19:19:15.000Z,['1669786733376929792'],"We're here for you after the #storm. If you've been affected, file a claim online at https://t.co/qJPi1fUSSk or call 1-800-54-STORM #Arkansas #Texas #Alabama #Oklahoma #Georgia https://t.co/u6GqKikL53",1669786733376929792,1669786733376929792,en,0,16,3,0,0,3166,Allstate
2023-06-06T20:36:29.000Z,['1666182294959280130'],#TheAllstateFoundation surprised students with @aliciakeys and @RoadtripNation at a screening of Changemakers: a documentary about the power of young people. Watch now at https://t.co/Wevh17BnfN. Share with us how you are changing the world! https://t.co/nRIMkSIR1a,1666182294959280130,1666182294959280130,en,2,11,17,0,0,4901,Allstate
2023-05-22T21:52:08.000Z,['1660765511628496903'],"#Texas, we’re to help you file claims after the weekend #storms. Call 1-800-54-STORM or click here: https://t.co/8aWXVqGIMJ https://t.co/OVJMvju4lx",1660765511628496903,1660765511628496903,en,2,25,6,0,0,3189,Allstate
2023-05-12T14:30:40.000Z,['1657030537247162371'],"""Like the Red Cross, Allstate has an ecosystem to help people when disasters strike. We're there and we're all in."" - Tom Wilson, Allstate CEO. Thanks @RedCrossIL for this great award! #RedCrossHeroes https://t.co/S1HsXWdNt1",1657030537247162371,1657030537247162371,en,3,20,4,0,0,4756,Allstate
2023-05-04T13:00:00.000Z,['1654108617484775424'],What if our investments could work with nature? See how restoring wetlands is a part of our #responsibleinvestments strategy. https://t.co/VETNVXmJBy,1654108617484775424,1654108617484775424,en,1,12,3,1,0,3204,Allstate
2023-05-03T17:15:27.000Z,['1653810512168202258'],Our employees show up for each other. And they're the reason we made @DiversityInc’s Top 50 Companies for #Diversity list! #DITop50 #inclusion https://t.co/8VSDDDZHdh https://t.co/FZHuATdjkW,1653810512168202258,1653810512168202258,en,1,15,4,2,0,2777,Allstate
2023-05-02T16:21:00.000Z,['1653434423642148865'],Great workplaces embrace &amp; celebrate differences. We’re excited to be named a #BestPlaceEmployerforDiversity in 2023! #inclusion #diversity https://t.co/DgkBe5zyoq,1653434423642148865,1653434423642148865,en,0,9,4,3,0,2175,Allstate
2023-04-22T15:00:12.000Z,['1649790209356185600'],"Happy #EarthDay! We’re taking the day to honor our Greenbassadors. Just hear from Allstate Engineering Manager, Srinu: “We did not inherit this earth from our ancestors, rather we borrowed it from our children.” https://t.co/nt3496EtfG",1649790209356185600,1649790209356185600,en,1,8,7,3,0,2894,Allstate
2023-04-07T17:03:48.000Z,['1644385498788683778'],A first cap for the storybooks and a great reminder to always believe in yourself. https://t.co/YAx9J2ev81,1644385498788683778,1644385498788683778,en,1,4,2,0,0,5268,Allstate
2023-04-03T14:14:24.000Z,['1642893316172701696'],"When it comes to #tornado shelters, a general rule of thumb is to go low. Plan how to weather the storm: https://t.co/rUDV09o3k0",1642893316172701696,1642893316172701696,en,2,10,3,1,0,2953,Allstate
