created_at,edit_history_tweet_ids,text,conversation_id,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2023-04-01T22:29:18.000Z,['1642293085173415938'],"While #storms continue across the country, we're here for you. If you've been affected, file a claim online https://t.co/Yol1nX1Sj6 or call 1-800-54-STORM #Arkansas #Illinois #Indiana #Ohio #Tennessee #tornados https://t.co/4dCTDk2azv",1642293085173415938,1642293085173415938,en,1,12,3,0,0,3396,Allstate
2023-03-30T19:30:00.000Z,['1641523188814192654'],"Allstate CEO Tom Wilson said it. Nobody wants to drive to the office for a Zoom call. We’ve transitioned most of our workforce to #workfromhome and #hybrid, so employees can choose how &amp; where they work. https://t.co/xU3SLINT1Y",1641523188814192654,1641523188814192654,en,2,19,8,0,1,3520,Allstate
2023-03-29T19:16:00.000Z,['1641157275426406418'],"#Innovation drives our teams. It’s simpler, digital claims. Quick and personalized quoting. And telematics to reward safe driving. We’re honored our people helped us become one of America’s #MostInnovativeCompanies. https://t.co/5NzTCqClep",1641157275426406418,1641157275426406418,en,1,6,3,0,0,2086,Allstate
2023-03-28T14:14:25.000Z,['1640718992200568832'],"#Ohio, #Mississippi, #Georgia &amp; #Alabama: we’ll be by your side, ready to rebuild after this weekend’s devastating #tornados. File a claim at 1-800-54-STORM, via the Allstate app or at https://t.co/tqCMQ9Eg4N https://t.co/FCKIX07yKI",1640718992200568832,1640718992200568832,en,1,6,2,0,0,1948,Allstate
2023-03-14T16:58:55.000Z,['1635686960168677403'],"We’re excited to continue our commitment to growing soccer in the U.S. by sponsoring this new, annual match-up with the @USMNT and top-tier talent across the Americas! ⚽ https://t.co/QDs0za3he7",1635686960168677403,1635686960168677403,en,8,14,70,0,0,153703,Allstate
2023-03-14T12:00:00.000Z,['1635611735221567490'],"It’s great to prep for #tornadoseason. Better to have an #emergencykit. But what to pack… 🤔

✔️ Cash
✔️ Flashlight
✔️ First aid
✔️ Battery powered radio
✔️ 1 week supply meds &amp; medical supplies
✔️ Personal hygiene items

Start your own kit: https://t.co/95ZioUeULq",1635611735221567490,1635611735221567490,en,1,7,2,0,0,1696,Allstate
2023-03-13T15:57:00.000Z,['1635308990589718529'],"Being named one of the #WorldsMostEthicalCompanies “represents our employees' commitment to action to empower customers—truly doing well by doing good” – Courtney Welton, Sr. VP &amp; Chief Ethics, Compliance &amp; Privacy Officer. https://t.co/Pi8zp6HDsn",1635308990589718529,1635308990589718529,en,2,25,5,0,0,1772,Allstate
2023-03-03T16:55:57.000Z,['1631699947635474445'],"Our thoughts are with #Texas after the devastating #storms that impacted the state. If you're affected by the severe storms, call 1-800-54-STORM or file a claim online: https://t.co/ITuodI4eru https://t.co/9WDUrXDvxy",1631699947635474445,1631699947635474445,en,3,17,3,2,0,2483,Allstate
2023-02-19T17:00:02.000Z,['1627352319250599938'],"Looking for a W from @USWNT when they meet Japan. As proud advocates of Women’s Soccer, we’ll be watching intently! #USWNT #SheBelievesCup https://t.co/TNlMEkEoZq",1627352319250599938,1627352319250599938,en,9,15,157,1,0,62585,Allstate
2023-02-16T22:00:02.000Z,['1626340653255868417'],Go @USWNT! Good luck against Canada tonight. Proud to support US Women’s Soccer efforts to encourage young female athletes. #USWNT #SheBelievesCup https://t.co/CIpqQeDCLu,1626340653255868417,1626340653255868417,en,9,7,127,1,1,51789,Allstate
2023-02-15T15:06:07.000Z,['1625874101813346304'],Thanks to Allstaters everywhere for making our workplace a top destination. Your innovative minds &amp; collaborative spirit are unmatched! https://t.co/DsJNOA0JNp,1625874101813346304,1625874101813346304,en,2,7,2,1,0,2010,Allstate
2023-02-13T22:00:00.000Z,['1625253481341677588'],Excited for the week ahead as we continue our support for @USWNT and passion for encouraging young female athletes to achieve their dreams. #USWNT #SheBelievesCup,1625253481341677588,1625253481341677588,en,6,10,80,0,0,64857,Allstate
2023-02-08T22:00:01.000Z,['1623441545167872000'],We applaud the hard work of #womenowned businesses everywhere. We’re honored to have a spot with @WBENC as one of 66 companies excelling in partnership opportunities! https://t.co/1MAIephaZV,1623441545167872000,1623441545167872000,en,2,11,5,0,0,2320,Allstate
2023-02-02T23:41:02.000Z,['1621292642142240772'],"#Texas, we're here to help after the devastating #storm that impacted the state. Call 1-800-54-STORM or file a claim online: https://t.co/ITuodI4eru https://t.co/y0234lHVDX",1621292642142240772,1621292642142240772,en,2,11,1,0,1,2136,Allstate
2023-01-25T20:33:14.000Z,['1618346277049081872'],We’re here to help customers rebuild at our Mobile Claims Centers. See locations for filing in-person claims after the #Texas #storms: https://t.co/ntKDGRJpcf https://t.co/SjPTjF5NDr,1618346277049081872,1618346277049081872,en,4,18,5,0,0,2552,Allstate
2023-01-18T16:51:28.000Z,['1615753753763643403'],"When we sold headquarters, we knew it would help us cut our #carbonfootprint. So much that we moved up our target to reach net-zero emissions by 2030. https://t.co/9ywzNnpxcj",1615753753763643403,1615753753763643403,en,1,22,8,2,0,2995,Allstate
2023-01-14T22:36:28.000Z,['1614391024918401025'],We’re here to help customers rebuild at our Mobile Claims Centers. See locations for filing in-person claims after the #tornados: https://t.co/OKFjFHOwm7 #Georgia #Alabama https://t.co/fYviyuIUdp,1614391024918401025,1614391024918401025,en,0,16,3,0,0,2610,Allstate
2023-01-11T15:13:04.000Z,['1613192276116652034'],A legend! BIG Congrats to our @WeAreAFCA #GoodWorksTeam #partner @TimTebow on being named to the 2023 College Football Hall of Fame. 👏👏 Your determination on &amp; off the field is unmatched. https://t.co/UwusGRsr0e,1613192276116652034,1613192276116652034,en,4,14,26,0,0,6385,Allstate
2023-01-09T21:54:59.000Z,['1612568643778367511'],"We’ll be there when the #storm clears. #California, stay safe &amp; visit the Allstate Disaster Help Center. File claims at 1-800-STORM or via the Allstate app. https://t.co/pV2EbHlKnV https://t.co/N5jfwP5UMS",1612568643778367511,1612568643778367511,en,0,13,1,0,0,1915,Allstate
2022-12-31T22:56:56.000Z,['1609322742351798272'],We're ringing in the #NewYear with the Allstate @WeAreAFCA #GoodWorksTeam at the @SugarBowlNola! These guys are champions on &amp; off the field. 🎉 Join their #goodwork in 2023 by volunteering with @DoSomething at https://t.co/0c5M0jGfve. https://t.co/1fk44qzV82,1609322742351798272,1609322742351798272,en,8,15,15,0,0,9573,Allstate
2022-12-29T20:01:12.000Z,['1608553742764318725'],"As #winterstorms continue, we're here to help. #Illinois, #Ohio, #NewYork: Start claims at 1-800-54-STORM or via the Allstate Mobile App. Visit Allstate’s Disaster Recovery Guide: https://t.co/P4bheXhXxC https://t.co/L7votQEXUp",1608553742764318725,1608553742764318725,en,0,11,1,0,0,2992,Allstate
2022-12-26T16:50:08.000Z,['1607418495280582656'],"We're here to help. #Georgia, #Texas &amp; #Tennessee: If you’ve been affected by the #storms, start your claim at 1-800-54-STORM or via the Allstate Mobile App. Learn more with Allstate’s Disaster Recovery Guide: https://t.co/CDscDF5ndx https://t.co/fMxywkRxaA",1607418495280582656,1607418495280582656,en,0,12,0,0,0,2163,Allstate
2022-12-23T16:19:36.000Z,['1606323646489829378'],"You should never have to face trouble alone. #NewYork: If you’ve been affected by the #storms, start your claim at 1-800-54-STORM or via the Allstate Mobile App. Learn more with Allstate’s Disaster Recovery Guide: https://t.co/ZgdCpjuJtv",1606323646489829378,1606323646489829378,en,1,11,1,0,0,2005,Allstate
2022-12-15T16:56:48.000Z,['1603433905515896832'],"Our thoughts are with #Louisiana as storms continued eastward. If you were impacted by the #tornadoes, file a claim online at https://t.co/BUfw79JdbF or call 1-800-54-STORM. https://t.co/uFZWzaExAn",1603433905515896832,1603433905515896832,en,1,11,2,1,0,2097,Allstate
2022-12-14T21:30:01.000Z,['1603140277857931269'],"#Texas, we're here to help. If you were impacted by the #tornados, file a claim online at https://t.co/yK7FnXa5vN or call 1-800-54-STORM. https://t.co/JFBXfeAQF7",1603140277857931269,1603140277857931269,en,0,8,2,0,0,0,Allstate
2022-12-12T16:21:14.000Z,['1602337791773384704'],Big congrats to Allstate @WeAreAFCA #goodworksteam’s @calebcsw for his WIN of the Heisman Trophy! A true player on &amp; off the field. 🏆 @uscfb https://t.co/pYbh2A1O5G,1602337791773384704,1602337791773384704,en,2,5,6,1,0,0,Allstate
2022-12-05T20:19:08.000Z,['1599860946960322560'],"The 2022 Allstate @WeAreAFCA #GoodWorksTeam Captain is a champion both on the field and in the community. Congrats 🎉 @GibbonsDillan, you've earned this! @FSUFootball https://t.co/dErc0NBeVt https://t.co/L59pZPrUQi",1599860946960322560,1599860946960322560,en,60,16,357,6,0,0,Allstate
2022-11-30T17:00:06.000Z,['1597998919950254081'],"Youth-led service 🤝 Youth-centered activism. This year’s Allstate @WeAreAFCA #GoodWorksTeam is joining @dosomething to “recruit” 1,000 volunteers for our team.

Help your community, like causes most important to our roster: https://t.co/WS3y7WPho0 @king_kearis @GeorgiaFootball https://t.co/ghAmtTlqZT",1597998919950254081,1597998919950254081,en,0,10,2,2,0,0,Allstate
2022-11-29T21:14:14.000Z,['1597700486123388929'],Congrats to the @USMNT 👏 Good luck in the knockout rounds. Let's gooooal!,1597700486123388929,1597700486123388929,en,3,3,9,1,0,0,Allstate
2022-11-17T14:30:00.000Z,['1593250103652888577'],What does it take to successfully lead through the #GreatReset happening across the workforce? It starts with unlearning. https://t.co/98Hw5fByFv,1593250103652888577,1593250103652888577,en,0,17,2,2,0,0,Allstate
2022-11-11T21:50:04.000Z,['1591186524116328455'],"#Florida &amp; #Georgia, we’re here to help you rebuild after #Nicole. To file an immediate claim, go to the Allstate® Mobile app, call 1-800-54-STORM or visit https://t.co/fnk5Woac10 https://t.co/q3ezvolwLj",1591186524116328455,1591186524116328455,en,2,15,6,0,0,0,Allstate
2022-11-04T12:30:14.000Z,['1588508922595479556'],"The 2022 @WeAreAFCA #GoodWorksTeam is made up of 22 of the country's most inspiring college football players —
but only one can be captain. See each player's community impact &amp; cast your vote for captain by
November 22nd! https://t.co/Zi8L0xRjDg https://t.co/5cWMqIfsgD",1588508922595479556,1588508922595479556,en,1,9,10,1,0,0,Allstate
2022-11-03T16:57:36.000Z,['1588213817988698112'],We’re excited to continue our multi-year partnership with US Soccer and continuing our commitment to protecting the future of soccer and the positive impact it brings to communities across the country. https://t.co/U94ceoeKJQ,1588213817988698112,1588213817988698112,en,1,7,4,0,0,0,Allstate
2022-10-31T14:15:00.000Z,['1587085734686720001'],"Mayhem is back! And just in time for College Football. Which means, we need to see your rituals for keeping our teams safe from Mayhem on game-day. Check out @KirkHerbstreit’s strategy, and share yours on TikTok with #AvoidMayhemWithAllstate and tag @Allstate. https://t.co/thOz3FuyzE",1587085734686720001,1587085734686720001,en,0,10,3,1,0,0,Allstate
2022-10-26T18:04:27.000Z,['1585331537314299928'],Make sure you have good hands working for you after #Ian. Check &amp; verify credentials of any contractors. See more #hurricanerecovery tips: https://t.co/WOFiAADbab https://t.co/KdJx6ZWm0r,1585331537314299928,1585331537314299928,en,1,10,2,1,0,0,Allstate
2022-10-01T20:36:28.000Z,['1576310096367390722'],"We’re helping those affected by #Hurricane #Ian at our Mobile Claims Centers in #Florida. You’ll meet with catastrophe personnel, get answers to questions and file claims. Locations: https://t.co/M5RfoWwTOO https://t.co/AQBCCtnOd0",1576310096367390722,1576310096367390722,en,6,25,12,1,0,0,Allstate
2022-09-29T19:06:16.000Z,['1575562623973818382'],"#Carolinas &amp; #Georgia, stay ready as the aftermath of #Hurricane #Ian makes landfall. Safety tips here: https://t.co/0YC6W9EoGx",1575562623973818382,1575562623973818382,en,2,6,3,0,0,0,Allstate
2022-09-28T21:51:02.000Z,['1575241698036355072'],"We’ll be there after the storm. Our Mobile Claims Centers are staged close by, ready to enter when it's deemed safe. File claims now at 1-800-54-STORM, the Allstate Mobile app or at https://t.co/DoaiZtXizo #Hurricane #Ian https://t.co/gn8Cea29U9",1575241698036355072,1575241698036355072,en,2,10,7,0,0,0,Allstate
2022-09-28T19:57:01.000Z,['1575213008028143616'],"We’re here to help after #Hurricane #Ian. To file an immediate claim, call 1-800-54-STORM, go to the Allstate® Mobile app, or visit: https://t.co/XUyzzIieL5 https://t.co/pGIRtOYbP7",1575213008028143616,1575213008028143616,en,1,7,1,0,0,0,Allstate
2022-09-26T18:30:35.000Z,['1574466480795783177'],"#HurricaneIan is quickly approaching. #Florida, stay ready ahead of the storm with an evacuation plan: https://t.co/S7pqyaSc4i",1574466480795783177,1574466480795783177,en,3,5,1,0,0,0,Allstate
2022-09-20T16:25:00.000Z,['1572260549328572416'],You can’t control the storm. But the right insurance may help your peace of mind. https://t.co/vNX89GaXjJ,1572260549328572416,1572260549328572416,en,1,6,1,1,0,0,Allstate
2022-09-19T19:01:40.000Z,['1571937587023020032'],These college athletes take it to the next level on AND OFF the field. Read their stories &amp; vote for captain of the 2022 Allstate AFCA Good Works team! @WeAreAFCA 🏈 https://t.co/JuJHju8OOF,1571937587023020032,1571937587023020032,en,1,6,5,0,0,0,Allstate
2022-09-09T14:47:54.000Z,['1568249843805470721'],"As the #FairviewFire blazes, stay safe with an evacuation plan: https://t.co/ICxMjTWF9j. Start claims via Allstate Mobile or call 1-800-54-STORM. https://t.co/T1HJYOKp9X",1568249843805470721,1568249843805470721,en,0,5,1,0,0,0,Allstate
2022-09-06T20:33:32.000Z,['1567249663073320960'],"If you've been impacted by the #MillFire, start claims via the Allstate Mobile app or call 1-800-54-STORM. Stay safe &amp; visit Allstate's Disaster Help Center for recovery info: https://t.co/g0O7yrB2bJ https://t.co/AGgn7T4nil",1567249663073320960,1567249663073320960,en,1,1,1,0,0,0,Allstate
2022-09-02T17:50:32.000Z,['1565759092890763266'],good hands,1565759092890763266,1565759092890763266,en,4,9,9,1,0,0,Allstate
2022-09-01T18:15:01.000Z,['1565402864645709824'],We are proud to announce this season #Allstate will become a Championship Partner for Notre Dame Athletics @FightingIrish https://t.co/9udKanIf8s https://t.co/MiRX71H8kH,1565402864645709824,1565402864645709824,en,2,5,12,1,0,0,Allstate
2022-08-04T00:54:00.000Z,['1554994022539739138'],"Our hearts go out to those affected by the #McKinneyWildfire. To file a claim, visit the Allstate Mobile App or call 1-800-54-STORM: https://t.co/Avjn5IjLLn https://t.co/tpweO1RPXm",1554994022539739138,1554994022539739138,en,1,16,5,0,0,0,Allstate
2022-07-26T22:40:14.000Z,['1552061257674592257'],"You should never have to face trouble alone. If you’ve been affected by the #fires, start your claim at 1-800-54-STORM or via the Allstate Mobile App. Learn more with Allstate’s Disaster Recovery Guide: https://t.co/DFRhNI96UQ https://t.co/TTdApdkCJV",1552061257674592257,1552061257674592257,en,2,17,6,0,0,0,Allstate
2022-07-21T21:20:02.000Z,['1550229133791215617'],As a proud sponsor of the #USWNT we want to congratulate @uswnt for recently qualifying for Paris 2024! We’ll be cheering for them along the way. https://t.co/ZUDje1dSrJ,1550229133791215617,1550229133791215617,en,12,12,199,1,2,0,Allstate
