,name,username,label,category,post_activity,fan_count,talking_about_count,users_can_post
695,1.24E+14,1brianroberts,Brian Roberts,Athlete,0,5601,0,no
1087,4.00E+14,22RudyGay,Rudy Gay,Athlete,0,375770,131,no
634,13372817801,23andMe,23andMe,Product/Service,0.29,452384,9030,yes
587,1.27E+14,3DSkateboards,3d Skateboards,Product/Service,0,22625,12,yes
943,1.68E+14,3GerardPique,Gerard Piqué,Athlete,0.01,18913264,9758,yes
447,1.54E+15,60SecDocs,60 Second Docs,Media/News Company,0.04,1060661,37802,yes
287,1.11E+14,7egend.cr,7egend,Software Company,0,5553,67,yes
1089,43584860851,AaronBrooks,Aaron Brooks,Athlete,0,184824,48,yes
937,1.84E+14,aaronlennon,Aaron Lennon,Athlete,0,647616,161,no
900,1.01E+11,aaronmaybinart,Aaron Maybin,Artist,0,4036,4,no
744,75223102189,abbywambach,Abby Wambach,Athlete,0,573732,587,yes
786,3.68E+11,Academy,Academy Sports + Outdoors,Retail Company,0.09,3555236,21754,yes
747,1.47E+11,ACMilan,AC Milan,Sports Team,0.34,24892641,105086,yes
693,88711723865,AdamJones,Adam Jones,Athlete,0,78324,25,yes
408,5.54E+14,adinvitational,Abu Dhabi Invitational,Sports Event,0.01,891,3,yes
215,6.77E+14,AdnanJanuzaj,Adnan Januzaj,Athlete,0,1552714,495,no
77,8782279894,adventuresportsnetwork,Adventure Sports Network,News & Media Website,0.32,626783,8018,yes
258,1.45E+14,afamilitar,Academia da Força Aérea - AFA,Armed Forces,0.04,430326,3783,no
575,1.52E+14,AirForce1,Nike Air Force 1,Product/Service,0,2915819,2019,no
1131,1.50E+14,AirMax,Nike Air Max,Product/Service,0,8889390,7131,no
464,2.56E+14,ajjoshi,AJ Joshi,Entrepreneur,0.01,67559,97,yes
994,1.81E+14,AJPriceNBA,A.J. Price,Athlete,0,19178,3,no
610,4.45E+14,akbargbaja,Akbar Gbajabiamila,Public Figure,0.01,31171,293,yes
511,1.33E+14,AkronDrumline,The University of Akron Drumline,College & University,0,498,0,yes
515,31021122769,AkronLaw,The University of Akron School of Law,College & University,0,2371,11,yes
548,1.40E+11,akronpublicschools,Akron Public Schools,Public School,0.11,11015,174,yes
516,3.83E+14,AkronU.HPV,University of Akron Human Power Vehicle Team,Education,0.01,399,1,yes
1050,1.64E+11,AkronZips,Akron Zips,School Sports Team,0.28,28028,872,yes
991,44548242208,AlabamaAthletics,University of Alabama Athletics,School Sports Team,0.26,1069064,38994,no
867,1.95E+14,AlabamaFTBL,Alabama Football,School Sports Team,0.03,1391433,18691,no
231,1.64E+14,alderheyhospital,Alder Hey Children's Hospital and Charity,Hospital,0.03,65683,4451,yes
431,1.54E+14,AlexanderNashNY,Alexander Nash,Fashion Designer,0,3031,14,yes
962,1.74E+14,AlexMorganSoccer,Alex Morgan,Athlete,0.09,3390799,2815,yes
932,1.98E+14,alexoxchamberlain,Alex Oxlade-Chamberlain,Athlete,0.01,2563469,1746,yes
1117,80837948725,AlHorford,Al Horford,Athlete,0,510529,971,no
602,1.20E+14,alienworkshop,Alien Workshop,Retail Company,0,139528,92,no
952,8.89E+14,AliKriegerEleven,Ali Krieger,Athlete,0.01,248009,138,yes
1017,1.99E+11,aljefferson25,Al Jefferson,Athlete,0.01,371739,114,no
981,3.75E+11,allysonfelixusa,Allyson Felix,Athlete,0,470267,238,no
1108,14676868295,amarestoudemire,Amar'e Stoudemire,Athlete,0.01,1050791,347,yes
311,99612358427,amfam,American Family Insurance,Insurance Company,0.03,278230,7230,yes
1065,1.38E+11,AmirJohnsonNBA,Amir Johnson,Athlete,0,148335,49,yes
450,26253062559,AmirKingkhanPage,Amir Khan,Athlete,0.12,4209456,3439,yes
656,1.68E+14,andalebearings,Andale Bearings,Company,0.01,68992,328,yes
230,1.45E+15,anderherrera,Ander Herrera,Athlete,0.01,1054921,5358,no
1042,2.55E+14,andre,Andre Iguodala,Athlete,0,1151040,290,yes
107,4.73E+14,AndreJohnson80,Andre Johnson,Athlete,0,309004,106,no
948,79298470625,AndresIniesta,Andrés Iniesta,Athlete,0.02,26893998,23791,no
720,1.34E+14,andrew.wheating,Andrew Wheating,Athlete,0,5042,2,yes
825,3.74E+14,AndrewLuckQB,Andrew Luck,Athlete,0.05,483110,158,yes
957,3.35E+14,AngelicaBengtsson.PV,Angelica Bengtsson Oly,Athlete,0.02,11708,17,yes
65,1.34E+14,animalbikes00,Animal Bikes,Company,0.02,227586,142,yes
448,1.21E+15,antasportsofficial,ANTA,Sportswear Store,0.03,385046,711,yes
189,2.16E+14,anthonyjoshuaboxer,Anthony Joshua,Athlete,0.9,2567149,479653,yes
680,1.20E+11,AnthonyKim,Anthony Kim,Athlete,0,29059,6,yes
254,2.87E+11,AppStore,App Store,Product/Service,0.11,14691969,11872,yes
725,27865171408,ArchForHumanity,Architecture for Humanity,Nonprofit Organization,0,152341,75,yes
866,67933909500,ArizonaAthletics,Arizona Athletics,School Sports Team,0.1,182985,2222,no
817,1.02E+11,arizonacardinals,Arizona Cardinals,Sports Club,0.26,1472720,77724,yes
876,22208101853,ArizonaStateSunDevils,Arizona State Sun Devils,School Sports Team,0.16,325771,10894,yes
891,1.01E+11,ArkansasRazorbacks,Arkansas Razorbacks,School Sports Team,0.05,643774,3090,yes
946,20669912712,Arsenal,Arsenal,Sports Team,0.27,37778924,258704,no
718,1.58E+14,AskLaurenFleshman,Lauren Fleshman,Athlete,0,14876,9,yes
813,50806422841,atlantafalcons,Atlanta Falcons,Sports Club,0.3,2029594,72387,yes
160,24410993700,ATPWorldTour,ATP World Tour,Sports League,0.33,3041236,30340,yes
354,45860050023,attproam,AT&T Pebble Beach Pro-Am,Sports Event,0.01,39999,24,yes
445,1.50E+14,AttyKoko,Senator Koko Pimentel,Government Official,0.03,228637,14441,no
136,47120458421,audemarspiguet,Audemars Piguet,Jewelry/Watches,0.02,1572210,22275,no
1064,1.13E+11,AustinDaye,Austin Daye,Athlete,0,53125,9,yes
169,1.30E+11,Babolat,Babolat,Product/Service,0.02,532160,772,no
821,92774416228,baltimoreravens,Baltimore Ravens,Sports Team,0.49,2294336,86820,yes
374,2.72E+11,Barretstown,Barretstown,Nonprofit Organization,0.02,39719,1872,yes
684,55640177887,BaseballExpress,BaseballExpress.com,Sports & Recreation,0.03,56178,290,yes
206,7991759722,BastianSchweinsteiger,Bastian Schweinsteiger,Athlete,0.01,9329434,16867,yes
546,2.05E+11,BathPD,Bath Police Department Ohio,Fire Station,0.01,6180,770,yes
37,78986534109,beatsbydre,Beats by Dre,Electronics,0.02,8875046,4188,no
877,25495618126,BeaverAthletics,Go Beavs,Athlete,0.14,204054,3873,yes
758,1.51E+11,BeaverFootball,Oregon State Football,School Sports Team,0.2,88009,1985,yes
412,1.49E+14,beckandscore,Beck & Score,Travel Company,0,1065,0,yes
209,84218631570,Beckham,David Beckham,Athlete,0.01,53429118,126487,no
779,36973054875,bellevuewolverines,Bellevue Wolverines,High School,0,3987,4,yes
987,58013148460,BelmontBruins,Belmont Bruins,School Sports Team,0.05,8449,285,no
820,90555643415,bengals,Cincinnati Bengals,Sports Club,0.21,1169570,17596,yes
134,1.73E+14,BerleiUK,Berlei Lingerie,Clothing (Brand),0.02,3610,15,yes
598,1.23E+14,berrics,The Berrics,Society & Culture Website,0.33,829294,8633,yes
888,1.42E+11,berryvikings,Berry College Athletics,School Sports Team,0.09,4281,1414,yes
558,11835240405,bgca.clubs,Boys & Girls Clubs of America,Nonprofit Organization,0.03,211867,3014,yes
1041,1.22E+14,bigbaby,"Glen """"Big Baby"""" Davis",Athlete,0,246557,56,yes
565,86168348434,BigCedarLodge,Big Cedar Lodge,Hotel Resort,0.05,98277,6650,yes
622,3.62E+14,BikingForBaha,Biking for BAHA,Community,0,225,0,yes
416,65646572251,billclinton,President Bill Clinton,Public Figure,0.01,3952879,2074,yes
357,3.86E+14,BKoepka,Brooks Koepka,Athlete,0.05,12054,92,yes
94,1.95E+11,blakegriffin32,Blake Griffin,Athlete,0,3859501,1657,no
463,7331091005,bleacherreport,Bleacher Report,Broadcasting & Media Production Company,1.04,7973338,619321,no
229,3.47E+14,Blinddaley,Daley Blind,Athlete,0,1919399,521,no
626,2.67E+11,bloombergbusiness,Bloomberg,Media/News Company,1.37,2814237,106633,no
568,1.47E+15,BluejackNational,Bluejack National,Community,0.01,6535,955,yes
414,22893372268,BMW,BMW,Cars,0.41,20229802,66485,yes
351,1.26E+14,BMWAGMC,BMW AGMC,Car Dealership,0.03,82263,169,yes
415,66725507920,BMWChampionship,BMW Championship,Sports Event,0.13,13518,199,yes
343,2.65E+11,BMWGolfsport,BMW Golfsport,Cars,0.1,140014,316,yes
424,97546408397,Bose,Bose,Product/Service,0.09,4036444,5692,yes
446,8725012666,bostonceltics,Boston Celtics,Sports Team,0.1,9041530,58250,no
476,94076559270,boxingnewsonline,Boxing News,Sports & Recreation,0.63,2446205,26217,yes
632,1.06E+11,BrainandLifeMag,Brain & Life Magazine,Professional Service,0.13,31634,611,yes
646,1.36E+11,brainfarmcinema,BRAIN FARM,Sports & Recreation,0,88085,37,no
1116,40102703287,Brandonroy,Brandon Roy,Athlete,0,403213,113,yes
1036,76938942553,brianscalabrine,Brian Scalabrine,Athlete,0.01,154779,130,yes
697,1.56E+14,BrianWilson38,Brian Wilson 38,Athlete,0,67803,24,yes
561,1.25E+11,bridgestonegolf,Bridgestone Golf,Outdoor & Sporting Goods Company,0.02,171548,3264,yes
953,1.38E+14,Brirollin,Brianna Rollins,Athlete,0,10402,35,yes
809,1.29E+11,Broncos,Denver Broncos,Sports Team,0.43,4322095,151797,no
417,1.43E+15,BrookwoodDublin,Brookwood Dublin,Steakhouse,0.03,4724,58,yes
214,1.46E+15,bryanrobson7cm,Bryan Robson,Athlete,0,88099,46,yes
540,1.01E+11,BSNSPORTS,BSN SPORTS,Product/Service,0.03,10901,83,yes
392,1.56E+11,BubbaWatsonGolf,Bubba Watson,Athlete,0.03,442084,8364,yes
489,43371531921,buboyfernandez,"Restituto """"Buboy"""" Fernandez",Coach,0,9112,3,yes
46,54876245094,BudLight,Bud Light,Brewery,0.01,8024170,52139,yes
812,72631215658,BuffaloBills,Buffalo Bills,Sports Club,0.31,889829,46452,yes
93,23554931441,bunbofugk,Bun B,Music,0.09,1223100,4324,yes
890,1.15E+14,ButlerBulldogs,Butler Bulldogs,School Sports Team,0.02,112605,284,no
1102,2.47E+11,butleruniversity,Butler University,College & University,0.06,29959,671,no
861,1.51E+14,BYUFootball,BYU Football,School Sports Team,0.22,168738,8586,no
724,69770172881,C25Kplan,The Couch-to-5K Running Plan,Company,0.17,460078,387,yes
860,49781276899,CalAthletics,Cal Bears,College & University,0.11,110093,1666,no
59,4.03E+14,CaliforniaProductions1,CA Productions,Event Planner,0.02,3673,2,yes
418,1.42E+11,CancerFundChildren,Cancer Fund for Children,Charity Organization,0.03,14364,415,yes
1096,46214535407,candicewiggins,Candice Wiggins,Interest,0.01,52606,58,yes
620,3.73E+14,CantorFitzgeraldCharityDay,Cantor Fitzgerald Charity Day,Community,0.01,1164,57,yes
971,2.67E+14,CarissaMooreOfficial,Carissa Moore,Athlete,0,138807,83,yes
967,1.71E+14,CarliLloydOfficial,Carli Lloyd,Athlete,0.04,737779,1349,yes
644,7.35E+14,carlosribeiro91,Carlos Ribeiro,Athlete,0.02,50821,104,yes
125,3.08E+14,CarmeloAnthony,Carmelo Anthony,Athlete,0.02,5381376,3299,yes
803,1.12E+14,CarolinaPanthers,Carolina Panthers,Professional Sports Team,0.92,2351523,99380,yes
129,3.73E+11,CarolineWozniacki,Caroline Wozniacki,Athlete,0.01,1554403,3187,no
543,69048043277,Cavs,Cleveland Cavaliers,Sports Team,0.14,8836937,25619,yes
661,82777896633,ccs.skate,CCS,Shopping & Retail,0.04,687694,977,yes
124,41318826798,ccsabathia52,CC Sabathia,Public Figure,0.01,283577,147,yes
525,10625691462,cedarpoint,Cedar Point,Amusement & Theme Park,0.05,1555072,13018,no
925,1.34E+14,CelticFC,Celtic FC,Sports Team,0.12,1755007,28106,no
949,1.24E+14,cescfabregas,Cesc Fàbregas,Athlete,0.03,7074563,10528,yes
388,1.45E+15,cgigolf,Confederation of Golf in Ireland,Sports,0.06,2336,70,yes
765,8338596957,champssports,Champs Sports,Retail Company,0.24,3171780,9000,yes
1107,2.12E+11,ChanningFrye,Channing Frye,Athlete,0,46194,20,yes
819,86995802712,chargers,Los Angeles Chargers,Sports Team,0.41,1559275,21889,yes
889,69459573843,charlotte49ers,Charlotte 49ers,School Sports Team,0.05,41255,500,yes
135,6.04E+14,chase,Chase,Finance,0.03,4029217,21582,no
1069,89498355497,ChaseBudinger,Chase Budinger,Athlete,0,59349,18,yes
810,1.16E+11,ChicagoBears,Chicago Bears,Professional Sports Team,0.62,4020811,215887,no
186,2.34E+14,ChloeRoseOFCL,Chloe Rose,Musician/Band,0.01,6457,317,no
649,1.28E+14,chriscobracole,Chris Cole,Athlete,0.03,1623585,2963,yes
1068,41435482957,ChrisDuhonNBA,Chris Duhon,Athlete,0,67662,19,no
198,1.53E+14,ChrisSmalling.PAGE,Chris Smalling,Athlete,0.02,2175105,3477,yes
474,41093998634,ChristianPost.Intl,The Christian Post,Media/News Company,0.62,655421,39120,yes
688,1.57E+14,ChrisYoung24,Chris Young,Athlete,0,8083,3,yes
74,1.62E+14,cinemabmx,Cinema BMX,Product/Service,0.03,102817,354,yes
323,10084673031,Cisco,Cisco,Computer Company,0.06,1567966,2474,yes
187,3.02E+14,ClaireHouseCH,Claire House Children's Hospice,Charity Organization,0.03,22499,751,yes
290,1.27E+14,claudiadiniz.blog,Cláudia Diniz,Personal Blog,0.01,14457,54,yes
856,1.05E+14,ClayMatthewsIII,Clay Matthews III,Athlete,0,838996,1056,yes
307,1.12E+14,clear,Clear,Health/Beauty,0,9904602,187,no
859,1.07E+14,clemsontigers,Clemson Athletics,School Sports Team,0.01,215457,928,no
951,1.02E+14,clintdempsey23,Clint Dempsey,Athlete,0,800064,319,yes
730,1.14E+14,clubdertoechter,Club der Töchter,Product/Service,0,11321,4,yes
738,5550296508,cnn,CNN,Media/News Company,1.96,30792744,1993068,no
35,3.00E+14,coachizzymartinez,"Israel """"Izzy"""" Martinez",Coach,0.02,9087,263,yes
761,1.51E+14,CoachLesMiles,Les Miles,Coach,0,51081,44,no
795,1.15E+14,coachpetecarroll,Pete Carroll,Public Figure,0.01,641806,303,yes
308,1.57E+15,Coachseve,Severin Lüthi,Coach,0,968,8,yes
413,40796308305,Coca-Cola,Coca-Cola,Food & Beverage,0,107873884,7025,yes
968,2.47E+11,cocoho,Coco Ho,Athlete,0,739762,451,no
236,4.90E+14,coleenroo,Coleen Rooney,Public Figure,0.01,901469,2745,no
147,36971033517,colehaan,Cole Haan,Retail Company,0.01,431341,11151,yes
865,1.32E+14,collegegameday,College GameDay,TV Show,0.13,2009903,72393,yes
694,1.80E+14,collinbalester,Collin Balester,Athlete,0,2541,2,yes
816,1.34E+11,colts,Indianapolis Colts,Sports Team,0.95,2220018,36343,yes
800,1.38E+14,CommunityNFL,NFL Community,Sports League,0.01,27417,87,yes
794,1.80E+11,competetocreate,Compete to Create,Product/Service,0,6347,58,yes
934,1.33E+14,corinthians,SC Corinthians Paulista,Sports Club,0.31,11423257,92569,no
1099,8570160131,Cornell,Cornell University,College & University,0.05,382510,3913,no
115,1.36E+14,CP3,Chris Paul,Athlete,0.01,4792277,2693,no
288,2.03E+14,CR7CRUNCHFitness,CR7 Crunch Fitness,Gym/Physical Fitness Center,0.03,22112,198,no
297,7.87E+14,cr7footwear,CR7Footwear,Clothing (Brand),0.01,241771,431,yes
289,2.49E+14,CR7limitless,CR7 Limitless,Brand,0.01,143003,225,no
293,5.91E+14,cr7selfie,CR7Selfie,App Page,0.02,286534,449,yes
299,4.32E+14,Cr7Underwear,CR7 Underwear,Clothing (Brand),0,232689,485,yes
606,1.28E+14,crailtap,Crailtap,Clothing (Brand),0.01,59541,101,yes
10,81221197163,Cristiano,Cristiano Ronaldo,Athlete,0.03,122672469,688102,no
292,2.12E+15,CristianoRonaldoFragrances,Cristiano Ronaldo Fragrances,Health/Beauty,0.04,302416,638,yes
772,1.25E+11,crusadersSTL,St. Louis Crusaders,Amateur Sports Team,0.02,2802,169,yes
56,1.58E+14,cultcrew,Cult Crew,Sports & Recreation,0.04,197793,526,yes
835,3.69E+11,Cuse,Syracuse Orange,School Sports Team,0.12,376424,8483,yes
1086,1.38E+11,cvbelieve,Charlie Villanueva,Athlete,0.01,32632,23,yes
1084,1.02E+11,DaJuanSummers,DaJuan Summers,Athlete,0,98830,17,yes
544,99559607813,DallasCowboys,Dallas Cowboys,Sports Team,0.8,8624254,138278,no
58,2.25E+14,danieldhersasc,Daniel Dhers Action Sports Complex,Recreation Center,0.04,12458,53,yes
54,5.36E+14,danieltuenteofficial,Daniel Tünte,Athlete,0,5459,2,yes
471,3.21E+14,DanRafaelESPN,Dan Rafael,Journalist,0.28,21624,2107,yes
80,72440072249,danscomp,Dan's Comp,Bicycle Shop,0.02,180410,94,no
437,1.36E+14,DarrenClarkeOfficial,Darren Clarke,Athlete,0,59630,26,no
218,6.58E+14,DavidDeGeaOficial,David De Gea,Athlete,0.12,6834563,66489,yes
902,3.74E+14,DavidDiehl66,David Diehl,Athlete,0,23784,7,yes
162,3.91E+14,Davidferrer87,David Ferrer,Athlete,0,394732,128,no
92,3.76E+14,davidflores.art,David Flores,Artist,0,9618,10,no
1123,2.27E+14,DavidLuizOfficial,David Luiz,Athlete,0.03,25207182,32299,no
208,20714737025,DavidVillaJugador,David Villa Sánchez,Athlete,0.02,14146866,4704,no
267,1.27E+15,daviluccareal,Davi_Lucca,Public Figure,0,354124,198,no
441,8.73E+14,DAVINProduction,DAVIN Productions,Media,0,373,158,yes
1121,23596074088,DazedandConfusedMagazine,Dazed and Confused Magazine,News & Media Website,0.64,1141328,23633,no
919,2.07E+11,DB9NFL,Drew Brees,Athlete,0.02,1999002,776,no
776,1.16E+14,DCJagFootball,Desoto Central Jaguar Football,School Sports Team,0.01,1545,118,yes
173,60072341488,dcunited,D.C. United,Sports Club,0.26,231703,6612,yes
984,5.32E+14,deandrejordan,Deandre Jordan,Athlete,0.01,1380935,486,yes
327,2.99E+11,DegreeMen,Degree Men,Product/Service,0,843090,281,yes
1111,1.12E+11,DeJuan45,DeJuan Blair,Athlete,0.04,469066,13171,yes
348,1.25E+14,dellmatchplay,Dell Technologies Match Play,Sports Event,0.01,20149,208,yes
372,1.23E+11,DellTechChamp,Dell Technologies Championship,Sports Event,0.09,9603,214,yes
133,1.25E+14,delta,Delta Air Lines,Airline Company,1.79,3145611,28218,yes
1044,3.11E+14,DemarcusCousins,DeMarcus Cousins,Athlete,0.02,963974,4259,yes
1109,98697349721,DeMarDeRozan,DeMar DeRozan,Athlete,0,1411923,773,yes
64,1.43E+14,demolitionparts,Demolition Parts,Shopping & Retail,0.09,144027,770,yes
887,2.87E+11,denisonsports,Denison University Sports,School Sports Team,0.01,3584,62,yes
576,1.49E+15,denny.pham.12,Denny Pham,Athlete,0.01,10271,3,yes
113,93502568426,DennyHamlin,Denny Hamlin,Athlete,0.01,163751,131,yes
126,1.78E+14,derekjeter,Derek Jeter,Athlete,0.01,2608200,1164,no
1115,1.64E+11,DeronWilliams,Deron Williams,Athlete,0.02,1237660,1220,no
1038,1.15E+11,DerrickBrownNBA,Derrick Brown,Athlete,0,75309,18,yes
901,4.88E+14,DeSeanJackson11,DeSean Jackson,Athlete,0.04,513181,2993,yes
768,1.46E+14,desotoeaglesfootball,DeSoto Eagles Football,Organization,0,2105,9,yes
815,95004133604,DetroitLions,Detroit Lions,Sports Team,0.21,1892977,98235,no
84,53654489101,dewtour,Dew Tour,News & Media Website,0.08,629272,346,yes
1063,1.24E+14,dgranger33,Danny Granger,Athlete,0,486726,100,no
588,50370501210,diamondsupplyco,Diamond Supply Co,Company,0.01,1651472,977,no
1092,16021367415,dianataurasi,Diana Taurasi,Athlete,0,168552,215,no
696,1.47E+11,dickssportinggoods,DICK'S Sporting Goods,Retail Company,0.13,5586574,19855,yes
639,4.49E+14,diego.najera.35,Diego Najera,Athlete,0,37179,60,yes
203,1.04E+14,diegomaradona,Diego Maradona,Athlete,0.03,8923347,40704,no
87,61426542790,DIGBMX,DIG BMX,Magazine,0.25,595144,2542,yes
1028,1.19E+14,DirkNowitzki,Dirk Nowitzki,Athlete,0,2871356,1054,yes
427,1.61E+14,djokovic.official,Novak Djokovic,Athlete,0.03,7120905,62009,no
601,59567056959,dlxsf,DLXSF,Interest,0.01,41307,25,yes
915,1.04E+11,donnieavery,Donnie Avery,Interest,0,1778,1,yes
399,3.18E+14,DPWorldTourChampionship,DP World Tour Championship,Sports Event,0.04,10163,53,yes
155,1.25E+14,Drasanvi,Drasanvi,Health/Beauty,0.11,13636,241,yes
346,3.60E+14,DriveShack,Drive Shack,Sports Bar,0.02,3249,305,no
402,4.15E+14,DubaiDutyFreeIrishOpen,Dubai Duty Free Irish Open,Region,0.02,30773,9,yes
1048,11129186193,DukeATHLETICS,Duke Athletics,School Sports Team,0.03,449080,1218,no
676,1.90E+14,DukeMGOLF,Duke Men's Golf,School Sports Team,0.01,2984,33,yes
1097,21489041474,DukeUniv,Duke University,College & University,0.1,355671,5848,yes
391,1.94E+14,DustinJohnsonPGA,Dustin Johnson,Athlete,0.04,164833,522,yes
438,47151801650,easports,EA SPORTS,Games/Toys,0,5740669,3201,yes
250,1.91E+11,easportsfifa,EA SPORTS FIFA,Video Game,0.02,23508663,75085,yes
405,67899739671,EASPORTSGolf,EA SPORTS PGA TOUR,Games/Toys,0,372346,123,yes
863,75529708755,EASPORTSMADDENNFL,EA SPORTS MADDEN NFL,Games/Toys,0.13,4753516,2138,yes
123,2.32E+11,EASPORTSNBA,EA SPORTS NBA LIVE,Video Game,0.06,933156,1998,yes
864,90440037279,easportsncaafootball,EA SPORTS NCAA Football,Games/Toys,0,1762747,539,yes
781,76903097742,Eastbay,Eastbay,Sportswear Store,0.1,2051296,5154,yes
223,9189674485,EdSheeranMusic,Ed Sheeran,Musician/Band,0.01,18543563,83889,no
